# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 120-120-298
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  149      3.31050E-02      2.90946E+02      3.01542E+01
  150      3.58447E-02      2.90365E+02      1.82339E+01
  151      4.48630E-02      2.91382E+02      1.88624E+01
  152      4.28082E-02      2.90387E+02      1.75327E+01
  153      3.69863E-02      2.90695E+02      1.94135E+01
  154      3.29909E-02      2.89108E+02      1.61336E+01
  155      3.27626E-02      2.91593E+02      1.43542E+01
  156      2.69406E-02      2.89196E+02      1.98642E+01
  157      2.93379E-02      2.89091E+02      1.85414E+01
  158      3.02511E-02      2.88041E+02      1.48823E+01
  159      2.15753E-02      2.89499E+02      1.99001E+01
  160      1.80365E-02      2.87891E+02      1.94396E+01
  161      1.43836E-02      2.85104E+02      2.09258E+01
  162      1.27854E-02      2.81177E+02      3.13045E+01
  163      9.70320E-03      2.85213E+02      2.11560E+01
  164      8.33333E-03      2.77356E+02      1.93669E+01
  165      8.10502E-03      2.78013E+02      3.65194E+01
  166      5.59361E-03      2.74417E+02      2.01874E+01
  167      6.50685E-03      2.72519E+02      3.06088E+01
  168      5.25114E-03      2.72770E+02      2.25041E+01
  169      3.76712E-03      2.66336E+02      2.05654E+01
  170      6.27854E-03      2.67916E+02      1.73316E+01
  171      5.82192E-03      2.58876E+02      3.56140E+01
  172      5.25114E-03      2.70086E+02      2.07167E+01
  173      6.84932E-03      2.63756E+02      2.08109E+01
  174      6.27854E-03      2.62251E+02      1.97628E+01
  175      4.79452E-03      2.61191E+02      1.96206E+01
  176      7.53425E-03      2.52731E+02      2.74304E+01
  177      7.64840E-03      2.49075E+02      3.51246E+01
  178      6.39269E-03      2.58588E+02      1.80094E+01
  179      7.19178E-03      2.53439E+02      3.03056E+01
  180      7.07763E-03      2.53444E+02      1.81036E+01
  181      9.01826E-03      2.61045E+02      2.88876E+01
  182      6.50685E-03      2.55820E+02      1.51742E+01
  183      6.39269E-03      2.55861E+02      1.99220E+01
  184      7.64840E-03      2.61074E+02      2.05060E+01
  185      7.53425E-03      2.60722E+02      2.05271E+01
  186      6.16438E-03      2.68545E+02      2.91323E+01
  187      7.19178E-03      2.64933E+02      3.39680E+01
  188      5.70776E-03      2.68600E+02      1.84025E+01
  189      6.73516E-03      2.73042E+02      3.06902E+01
  190      8.33333E-03      2.66239E+02      2.20769E+01
  191      8.67580E-03      2.76623E+02      2.08813E+01
  192      9.36073E-03      2.67637E+02      2.54275E+01
  193      9.13242E-03      2.70921E+02      2.03168E+01
  194      1.07306E-02      2.73010E+02      2.91149E+01
  195      1.11872E-02      2.68260E+02      2.15503E+01
  196      1.17580E-02      2.71663E+02      1.51752E+01
  197      1.32420E-02      2.68777E+02      2.23242E+01
  198      1.47260E-02      2.69497E+02      1.67603E+01
  199      1.52968E-02      2.69566E+02      1.63536E+01
  200      1.84932E-02      2.66581E+02      1.87320E+01
  201      1.90639E-02      2.66562E+02      1.93844E+01
  202      2.13470E-02      2.66553E+02      1.78660E+01
  203      2.26027E-02      2.64179E+02      1.62477E+01
  204      2.52283E-02      2.62814E+02      1.83201E+01
  205      2.79680E-02      2.58350E+02      1.72881E+01
  206      2.77397E-02      2.59008E+02      1.64566E+01
  207      2.43151E-02      2.55474E+02      1.96682E+01
  208      2.19178E-02      2.52302E+02      2.08010E+01
  209      2.20320E-02      2.52835E+02      2.20336E+01
  210      1.82648E-02      2.44362E+02      2.06964E+01
  211      1.80365E-02      2.41268E+02      2.21911E+01
  212      8.56164E-03      2.47388E+02      3.13520E+01
  213      7.53425E-03      2.39164E+02      2.14236E+01
  214      3.65297E-03      2.38686E+02      1.35857E+01
  215      2.96804E-03      2.30401E+02      2.05516E+01
  216      1.94064E-03      2.31626E+02      1.45444E+01
  217      9.13242E-04      2.33636E+02      1.24168E+01
  218      6.84932E-04      2.18093E+02      1.26013E+01
  219      1.14155E-04      2.25048E+02      1.00000E+01
  222      1.14155E-04      2.29595E+02      1.00000E+01
  223      1.14155E-04      2.33868E+02      1.00000E+01
