# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 98-Cf-270
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  135      1.78461E-01      2.19792E+02      8.29982E+00
  136      1.88654E-01      2.19484E+02      7.54060E+00
  137      1.88506E-01      2.19355E+02      7.97286E+00
  138      1.62358E-01      2.20459E+02      7.65774E+00
  139      8.95258E-02      2.19535E+02      8.05976E+00
  140      5.59905E-02      2.18748E+02      8.95056E+00
  141      3.27966E-02      2.18568E+02      8.30956E+00
  142      2.30462E-02      2.13100E+02      2.01392E+01
  143      1.35914E-02      2.04837E+02      1.71386E+01
  144      6.79569E-03      1.99102E+02      1.47016E+01
  145      5.02290E-03      1.92628E+02      1.69068E+01
  146      5.31836E-03      1.87223E+02      1.08408E+01
  147      3.10238E-03      1.87176E+02      1.83287E+01
  148      5.02290E-03      1.85529E+02      1.45746E+01
  149      2.95465E-03      1.81682E+02      1.37682E+01
  150      2.21598E-03      1.80189E+02      1.13037E+01
  151      1.77279E-03      1.83903E+02      9.20207E+00
  152      1.18186E-03      1.84280E+02      9.31555E+00
  153      1.62506E-03      1.91038E+02      1.44366E+01
  154      2.36372E-03      1.80608E+02      1.11491E+01
  155      1.18186E-03      1.81342E+02      9.25733E+00
  156      1.18186E-03      1.79345E+02      7.07674E+00
  157      1.62506E-03      1.81196E+02      9.26953E+00
  158      1.03413E-03      1.83390E+02      7.44641E+00
  159      2.06825E-03      1.82064E+02      6.62914E+00
  160      7.38662E-04      1.79375E+02      7.73078E+00
  161      1.47732E-03      1.79478E+02      7.91411E+00
  162      2.36372E-03      1.79407E+02      1.48516E+01
  163      1.03413E-03      1.78833E+02      1.17331E+01
  164      5.90929E-04      1.78090E+02      1.00000E+01
  165      1.03413E-03      1.83438E+02      8.07498E+00
  166      1.47732E-03      1.79081E+02      1.00929E+01
  167      7.38662E-04      1.76575E+02      1.46712E+01
  168      8.86394E-04      1.72732E+02      3.90348E+00
  169      1.03413E-03      1.71684E+02      8.95615E+00
  170      7.38662E-04      1.72840E+02      5.96617E+00
  171      5.90929E-04      1.71850E+02      1.00000E+01
  172      8.86394E-04      1.75236E+02      1.32657E+01
  173      8.86394E-04      1.63684E+02      1.51900E+01
  174      1.18186E-03      1.66211E+02      1.63814E+01
  175      1.47732E-04      1.66381E+02      1.00000E+01
  176      1.77279E-03      1.68487E+02      7.13186E+00
  177      7.38662E-04      1.64639E+02      8.46839E+00
  178      7.38662E-04      1.63774E+02      8.66847E+00
  179      2.95465E-04      1.61989E+02      1.00000E+01
  180      8.86394E-04      1.64821E+02      1.12202E+01
  181      7.38662E-04      1.60363E+02      5.56168E+00
  182      5.90929E-04      1.60994E+02      1.00000E+01
  183      1.47732E-04      1.61298E+02      1.00000E+01
  184      1.47732E-04      1.61961E+02      1.00000E+01
  185      1.47732E-04      1.62998E+02      1.00000E+01
  189      1.47732E-04      1.70718E+02      1.00000E+01
  190      2.95465E-04      1.73365E+02      1.00000E+01
  204      1.47732E-04      1.31182E+02      1.00000E+01
