# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Full TKE distribution for each fragment mass.
# License                 : CC BY-SA-4.0
# Compound                : 96-Cm-218
# Excitation Energy (MeV) : 10.0 MeV
#  A       TKE[MeV]          Yield
  108      1.33000E+02      0.00000E+00
  108      1.34000E+02      0.00000E+00
  108      1.35000E+02      0.00000E+00
  108      1.36000E+02      0.00000E+00
  108      1.37000E+02      0.00000E+00
  108      1.38000E+02      0.00000E+00
  108      1.39000E+02      0.00000E+00
  108      1.40000E+02      0.00000E+00
  108      1.41000E+02      0.00000E+00
  108      1.42000E+02      0.00000E+00
  108      1.43000E+02      0.00000E+00
  108      1.44000E+02      0.00000E+00
  108      1.45000E+02      0.00000E+00
  108      1.46000E+02      0.00000E+00
  108      1.47000E+02      0.00000E+00
  108      1.48000E+02      0.00000E+00
  108      1.49000E+02      0.00000E+00
  108      1.50000E+02      0.00000E+00
  108      1.51000E+02      0.00000E+00
  108      1.52000E+02      0.00000E+00
  108      1.53000E+02      0.00000E+00
  108      1.54000E+02      0.00000E+00
  108      1.55000E+02      0.00000E+00
  108      1.56000E+02      0.00000E+00
  108      1.57000E+02      0.00000E+00
  108      1.58000E+02      0.00000E+00
  108      1.59000E+02      0.00000E+00
  108      1.60000E+02      0.00000E+00
  108      1.61000E+02      0.00000E+00
  108      1.62000E+02      0.00000E+00
  108      1.63000E+02      0.00000E+00
  108      1.64000E+02      0.00000E+00
  108      1.65000E+02      0.00000E+00
  108      1.66000E+02      0.00000E+00
  108      1.67000E+02      0.00000E+00
  108      1.68000E+02      0.00000E+00
  108      1.69000E+02      0.00000E+00
  108      1.70000E+02      0.00000E+00
  108      1.71000E+02      0.00000E+00
  108      1.72000E+02      0.00000E+00
  108      1.73000E+02      0.00000E+00
  108      1.74000E+02      0.00000E+00
  108      1.75000E+02      0.00000E+00
  108      1.76000E+02      0.00000E+00
  108      1.77000E+02      0.00000E+00
  108      1.78000E+02      0.00000E+00
  108      1.79000E+02      0.00000E+00
  108      1.80000E+02      0.00000E+00
  108      1.81000E+02      0.00000E+00
  108      1.82000E+02      0.00000E+00
  108      1.83000E+02      0.00000E+00
  108      1.84000E+02      0.00000E+00
  108      1.85000E+02      0.00000E+00
  108      1.86000E+02      0.00000E+00
  108      1.87000E+02      0.00000E+00
  108      1.88000E+02      0.00000E+00
  108      1.89000E+02      0.00000E+00
  108      1.90000E+02      0.00000E+00
  108      1.91000E+02      0.00000E+00
  108      1.92000E+02      0.00000E+00
  108      1.93000E+02      0.00000E+00
  108      1.94000E+02      0.00000E+00
  108      1.95000E+02      0.00000E+00
  108      1.96000E+02      0.00000E+00
  108      1.97000E+02      0.00000E+00
  108      1.98000E+02      0.00000E+00
  108      1.99000E+02      0.00000E+00
  108      2.00000E+02      0.00000E+00
  108      2.01000E+02      0.00000E+00
  108      2.02000E+02      0.00000E+00
  108      2.03000E+02      0.00000E+00
  108      2.04000E+02      0.00000E+00
  108      2.05000E+02      0.00000E+00
  108      2.06000E+02      0.00000E+00
  108      2.07000E+02      0.00000E+00
  108      2.08000E+02      0.00000E+00
  108      2.09000E+02      0.00000E+00
  108      2.10000E+02      0.00000E+00
  108      2.11000E+02      0.00000E+00
  108      2.12000E+02      0.00000E+00
  108      2.13000E+02      0.00000E+00
  108      2.14000E+02      0.00000E+00
  108      2.15000E+02      0.00000E+00
  108      2.16000E+02      0.00000E+00
  108      2.17000E+02      0.00000E+00
  108      2.18000E+02      0.00000E+00
  108      2.19000E+02      0.00000E+00
  108      2.20000E+02      0.00000E+00
  108      2.21000E+02      0.00000E+00
  108      2.22000E+02      0.00000E+00
  108      2.23000E+02      0.00000E+00
  108      2.24000E+02      0.00000E+00
  108      2.25000E+02      0.00000E+00
  108      2.26000E+02      0.00000E+00
  108      2.27000E+02      0.00000E+00
  108      2.28000E+02      0.00000E+00
  108      2.29000E+02      0.00000E+00
  108      2.30000E+02      0.00000E+00
  108      2.31000E+02      0.00000E+00
  108      2.32000E+02      0.00000E+00
  108      2.33000E+02      0.00000E+00
  108      2.34000E+02      0.00000E+00

  109      1.33000E+02      0.00000E+00
  109      1.34000E+02      0.00000E+00
  109      1.35000E+02      0.00000E+00
  109      1.36000E+02      0.00000E+00
  109      1.37000E+02      0.00000E+00
  109      1.38000E+02      0.00000E+00
  109      1.39000E+02      0.00000E+00
  109      1.40000E+02      0.00000E+00
  109      1.41000E+02      0.00000E+00
  109      1.42000E+02      0.00000E+00
  109      1.43000E+02      0.00000E+00
  109      1.44000E+02      0.00000E+00
  109      1.45000E+02      0.00000E+00
  109      1.46000E+02      0.00000E+00
  109      1.47000E+02      0.00000E+00
  109      1.48000E+02      0.00000E+00
  109      1.49000E+02      0.00000E+00
  109      1.50000E+02      0.00000E+00
  109      1.51000E+02      0.00000E+00
  109      1.52000E+02      0.00000E+00
  109      1.53000E+02      0.00000E+00
  109      1.54000E+02      0.00000E+00
  109      1.55000E+02      0.00000E+00
  109      1.56000E+02      3.65631E-04
  109      1.57000E+02      0.00000E+00
  109      1.58000E+02      0.00000E+00
  109      1.59000E+02      0.00000E+00
  109      1.60000E+02      0.00000E+00
  109      1.61000E+02      3.65631E-04
  109      1.62000E+02      0.00000E+00
  109      1.63000E+02      0.00000E+00
  109      1.64000E+02      1.09689E-03
  109      1.65000E+02      7.31261E-04
  109      1.66000E+02      0.00000E+00
  109      1.67000E+02      0.00000E+00
  109      1.68000E+02      0.00000E+00
  109      1.69000E+02      0.00000E+00
  109      1.70000E+02      7.31261E-04
  109      1.71000E+02      3.65631E-04
  109      1.72000E+02      1.09689E-03
  109      1.73000E+02      3.65631E-04
  109      1.74000E+02      1.46252E-03
  109      1.75000E+02      1.09689E-03
  109      1.76000E+02      1.46252E-03
  109      1.77000E+02      2.55941E-03
  109      1.78000E+02      1.09689E-03
  109      1.79000E+02      2.19378E-03
  109      1.80000E+02      1.46252E-03
  109      1.81000E+02      3.29068E-03
  109      1.82000E+02      1.82815E-03
  109      1.83000E+02      1.82815E-03
  109      1.84000E+02      4.75320E-03
  109      1.85000E+02      2.92505E-03
  109      1.86000E+02      3.65631E-03
  109      1.87000E+02      2.55941E-03
  109      1.88000E+02      2.19378E-03
  109      1.89000E+02      4.02194E-03
  109      1.90000E+02      4.02194E-03
  109      1.91000E+02      2.55941E-03
  109      1.92000E+02      4.02194E-03
  109      1.93000E+02      2.92505E-03
  109      1.94000E+02      2.19378E-03
  109      1.95000E+02      1.82815E-03
  109      1.96000E+02      5.48446E-03
  109      1.97000E+02      2.55941E-03
  109      1.98000E+02      3.65631E-03
  109      1.99000E+02      3.65631E-03
  109      2.00000E+02      1.46252E-03
  109      2.01000E+02      2.55941E-03
  109      2.02000E+02      2.92505E-03
  109      2.03000E+02      1.82815E-03
  109      2.04000E+02      2.92505E-03
  109      2.05000E+02      3.65631E-04
  109      2.06000E+02      2.19378E-03
  109      2.07000E+02      2.19378E-03
  109      2.08000E+02      1.09689E-03
  109      2.09000E+02      1.09689E-03
  109      2.10000E+02      0.00000E+00
  109      2.11000E+02      3.65631E-04
  109      2.12000E+02      1.46252E-03
  109      2.13000E+02      7.31261E-04
  109      2.14000E+02      1.09689E-03
  109      2.15000E+02      7.31261E-04
  109      2.16000E+02      0.00000E+00
  109      2.17000E+02      7.31261E-04
  109      2.18000E+02      1.09689E-03
  109      2.19000E+02      0.00000E+00
  109      2.20000E+02      3.65631E-04
  109      2.21000E+02      0.00000E+00
  109      2.22000E+02      0.00000E+00
  109      2.23000E+02      0.00000E+00
  109      2.24000E+02      0.00000E+00
  109      2.25000E+02      0.00000E+00
  109      2.26000E+02      0.00000E+00
  109      2.27000E+02      0.00000E+00
  109      2.28000E+02      0.00000E+00
  109      2.29000E+02      3.65631E-04
  109      2.30000E+02      0.00000E+00
  109      2.31000E+02      0.00000E+00
  109      2.32000E+02      0.00000E+00
  109      2.33000E+02      0.00000E+00
  109      2.34000E+02      0.00000E+00

  110      1.33000E+02      0.00000E+00
  110      1.34000E+02      0.00000E+00
  110      1.35000E+02      0.00000E+00
  110      1.36000E+02      0.00000E+00
  110      1.37000E+02      0.00000E+00
  110      1.38000E+02      0.00000E+00
  110      1.39000E+02      0.00000E+00
  110      1.40000E+02      0.00000E+00
  110      1.41000E+02      0.00000E+00
  110      1.42000E+02      0.00000E+00
  110      1.43000E+02      0.00000E+00
  110      1.44000E+02      0.00000E+00
  110      1.45000E+02      0.00000E+00
  110      1.46000E+02      0.00000E+00
  110      1.47000E+02      0.00000E+00
  110      1.48000E+02      0.00000E+00
  110      1.49000E+02      0.00000E+00
  110      1.50000E+02      0.00000E+00
  110      1.51000E+02      0.00000E+00
  110      1.52000E+02      0.00000E+00
  110      1.53000E+02      1.82815E-04
  110      1.54000E+02      0.00000E+00
  110      1.55000E+02      0.00000E+00
  110      1.56000E+02      1.82815E-04
  110      1.57000E+02      0.00000E+00
  110      1.58000E+02      0.00000E+00
  110      1.59000E+02      0.00000E+00
  110      1.60000E+02      0.00000E+00
  110      1.61000E+02      1.82815E-04
  110      1.62000E+02      0.00000E+00
  110      1.63000E+02      3.65631E-04
  110      1.64000E+02      1.82815E-04
  110      1.65000E+02      3.65631E-04
  110      1.66000E+02      0.00000E+00
  110      1.67000E+02      7.31261E-04
  110      1.68000E+02      1.82815E-04
