# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 96-Cm-246
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  123      2.31616E-03      1.60557E+02      1.00000E+01
  124      1.15808E-03      1.64817E+02      1.00000E+01
  125      5.79039E-04      1.69243E+02      1.00000E+01
  126      5.79039E-04      1.73605E+02      1.00000E+01
  127      1.73712E-03      1.77710E+02      1.00000E+01
  128      1.73712E-03      1.81408E+02      1.00000E+01
  129      1.73712E-03      1.84601E+02      1.00000E+01
  130      4.63231E-03      1.95024E+02      8.91138E+00
  131      6.94847E-03      1.91948E+02      8.90950E+00
  132      1.96873E-02      1.93794E+02      1.21187E+01
  133      2.48987E-02      1.93397E+02      8.85467E+00
  134      5.79039E-02      1.93198E+02      1.12059E+01
  135      1.10017E-01      1.91501E+02      6.44274E+00
  136      1.03648E-01      1.90246E+02      6.55846E+00
  137      1.05385E-01      1.90273E+02      7.75181E+00
  138      1.05964E-01      1.90472E+02      7.93130E+00
  139      1.00174E-01      1.90257E+02      7.94351E+00
  140      1.04806E-01      1.88360E+02      7.90017E+00
  141      6.54314E-02      1.88393E+02      8.04098E+00
  142      3.93746E-02      1.84754E+02      1.16260E+01
  143      2.72148E-02      1.84680E+02      1.36522E+01
  144      2.25825E-02      1.86054E+02      1.35362E+01
  145      1.67921E-02      1.85646E+02      1.38929E+01
  146      9.84366E-03      1.77716E+02      1.70459E+01
  147      7.52750E-03      1.84814E+02      7.95835E+00
  148      5.79039E-03      1.84962E+02      6.21662E+00
  149      3.47423E-03      1.84697E+02      9.57871E+00
  150      4.63231E-03      1.82434E+02      8.12526E+00
  151      5.79039E-03      1.80868E+02      5.51256E+00
  152      4.05327E-03      1.82100E+02      7.10172E+00
  153      6.36943E-03      1.80274E+02      1.29815E+01
  154      4.63231E-03      1.83047E+02      7.72894E+00
  155      5.21135E-03      1.73311E+02      8.11645E+00
  156      4.63231E-03      1.75400E+02      8.11614E+00
  157      1.15808E-03      1.74964E+02      1.00000E+01
  158      1.73712E-03      1.74036E+02      1.00000E+01
  159      3.47423E-03      1.71966E+02      1.00219E+01
  160      1.73712E-03      1.72178E+02      1.00000E+01
  161      1.15808E-03      1.71249E+02      1.00000E+01
  162      5.79039E-04      1.70320E+02      1.00000E+01
  163      1.73712E-03      1.69392E+02      1.00000E+01
  165      5.79039E-04      1.67534E+02      1.00000E+01
  170      5.79039E-04      1.62890E+02      1.00000E+01
