# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 112-Cn-278
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  139      1.17787E-01      2.69419E+02      1.57939E+01
  140      1.21101E-01      2.70735E+02      1.42812E+01
  141      1.23991E-01      2.70069E+02      1.45179E+01
  142      1.19317E-01      2.69844E+02      1.50511E+01
  143      8.80428E-02      2.67509E+02      1.57434E+01
  144      6.76468E-02      2.65092E+02      1.57877E+01
  145      5.95734E-02      2.65192E+02      1.63935E+01
  146      4.60610E-02      2.61639E+02      1.56914E+01
  147      4.04521E-02      2.62190E+02      1.75518E+01
  148      3.15289E-02      2.58519E+02      1.81624E+01
  149      2.14158E-02      2.56470E+02      2.06742E+01
  150      1.63168E-02      2.51695E+02      1.87127E+01
  151      1.31724E-02      2.52339E+02      1.89368E+01
  152      1.21526E-02      2.50357E+02      2.90282E+01
  153      8.07343E-03      2.41817E+02      1.95911E+01
  154      7.13861E-03      2.46796E+02      2.67458E+01
  155      7.22359E-03      2.41856E+02      1.97041E+01
  156      6.37376E-03      2.34397E+02      2.78396E+01
  157      7.13861E-03      2.36227E+02      3.06256E+01
  158      7.64851E-03      2.33470E+02      2.41809E+01
  159      6.62871E-03      2.32421E+02      2.32977E+01
  160      6.45874E-03      2.32755E+02      2.44887E+01
  161      6.20379E-03      2.34427E+02      2.74006E+01
  162      6.62871E-03      2.26724E+02      2.33933E+01
  163      6.45874E-03      2.27605E+02      2.20887E+01
  164      5.86386E-03      2.25577E+02      2.55361E+01
  165      4.41914E-03      2.27038E+02      1.34360E+01
  166      4.16419E-03      2.21953E+02      2.45042E+01
  167      3.56930E-03      2.26705E+02      2.53082E+01
  168      1.78465E-03      2.35206E+02      1.92791E+01
  169      1.61469E-03      2.30207E+02      1.75673E+01
  170      1.01980E-03      2.22188E+02      1.35499E+01
  171      1.10478E-03      2.28283E+02      1.92661E+01
  172      7.64851E-04      2.30841E+02      1.08113E+01
  173      5.09901E-04      2.29487E+02      1.63401E+01
  174      1.01980E-03      2.26327E+02      1.51546E+01
  175      7.64851E-04      2.21101E+02      1.48490E+01
  176      7.64851E-04      2.28279E+02      2.06047E+01
  177      8.49834E-04      2.27404E+02      1.46478E+01
  178      4.24917E-04      2.07598E+02      3.29112E+00
  179      8.49834E-04      2.24515E+02      1.00692E+01
  180      5.09901E-04      2.24309E+02      1.49324E+01
  181      3.39934E-04      2.18235E+02      1.00000E+01
  182      8.49834E-05      2.17561E+02      1.00000E+01
  183      1.69967E-04      2.16892E+02      1.00000E+01
  184      8.49834E-05      2.16234E+02      1.00000E+01
  185      8.49834E-05      2.15592E+02      1.00000E+01
  188      1.69967E-04      2.13814E+02      1.00000E+01
  189      8.49834E-05      2.13289E+02      1.00000E+01
  190      1.69967E-04      2.12806E+02      1.00000E+01
  192      8.49834E-05      2.11977E+02      1.00000E+01
  193      1.69967E-04      2.11636E+02      1.00000E+01
  194      8.49834E-05      2.11342E+02      1.00000E+01
  195      1.69967E-04      2.11095E+02      1.00000E+01
  196      1.69967E-04      2.10888E+02      1.00000E+01
  197      8.49834E-04      2.17851E+02      8.62783E+00
  198      5.94884E-04      2.13117E+02      1.57220E+01
  199      2.54950E-04      2.10420E+02      1.00000E+01
  200      5.94884E-04      2.19372E+02      9.10916E+00
  201      8.49834E-04      2.08734E+02      1.16381E+01
  202      8.49834E-04      2.13595E+02      1.12559E+01
  203      1.01980E-03      2.08954E+02      1.21301E+01
  204      1.18977E-03      2.05841E+02      1.13495E+01
  205      4.24917E-04      2.13334E+02      8.46562E+00
  206      1.44472E-03      2.05558E+02      1.69941E+01
  207      2.20957E-03      2.05751E+02      1.42987E+01
  208      1.52970E-03      2.01671E+02      1.37237E+01
  209      5.09901E-04      1.94633E+02      1.81774E+01
  210      4.24917E-04      1.97231E+02      1.05677E+01
  211      5.09901E-04      2.00123E+02      7.89020E+00
  212      8.49834E-05      1.93682E+02      1.00000E+01
  213      1.69967E-04      1.89101E+02      1.00000E+01
  214      8.49834E-05      1.83569E+02      1.00000E+01
