# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 110-Ds-266
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  133      3.86245E-02      2.52354E+02      1.62352E+01
  134      3.64870E-02      2.52012E+02      1.48590E+01
  135      4.12870E-02      2.53757E+02      1.54115E+01
  136      4.72494E-02      2.53658E+02      1.44116E+01
  137      4.47369E-02      2.52889E+02      1.61097E+01
  138      4.89369E-02      2.52751E+02      1.46067E+01
  139      4.93119E-02      2.52508E+02      1.56130E+01
  140      5.33243E-02      2.53221E+02      1.43904E+01
  141      5.72243E-02      2.51216E+02      1.54262E+01
  142      5.57243E-02      2.49497E+02      1.62378E+01
  143      5.31743E-02      2.48516E+02      1.61171E+01
  144      4.69119E-02      2.46269E+02      1.56627E+01
  145      4.61994E-02      2.44085E+02      1.73056E+01
  146      4.81494E-02      2.43999E+02      1.62252E+01
  147      4.25620E-02      2.39456E+02      1.77025E+01
  148      3.73870E-02      2.36593E+02      1.79779E+01
  149      3.35621E-02      2.33736E+02      1.68111E+01
  150      3.04496E-02      2.33273E+02      1.76114E+01
  151      2.93246E-02      2.33975E+02      1.59578E+01
  152      2.57247E-02      2.28673E+02      1.70503E+01
  153      2.21622E-02      2.26144E+02      1.47292E+01
  154      1.91248E-02      2.26238E+02      1.60760E+01
  155      1.71748E-02      2.27658E+02      1.50523E+01
  156      1.57498E-02      2.26972E+02      1.68530E+01
  157      1.28248E-02      2.25750E+02      1.67056E+01
  158      8.66239E-03      2.29397E+02      1.93256E+01
  159      7.68740E-03      2.24562E+02      1.88274E+01
  160      5.92493E-03      2.28672E+02      1.87945E+01
  161      5.43743E-03      2.25398E+02      2.20219E+01
  162      4.12495E-03      2.27586E+02      3.01723E+01
  163      2.96246E-03      2.26270E+02      2.20213E+01
  164      2.54997E-03      2.29247E+02      2.94850E+01
  165      2.17497E-03      2.27683E+02      1.61614E+01
  166      1.53748E-03      2.30628E+02      2.39193E+01
  167      1.38748E-03      2.30339E+02      1.51118E+01
  168      8.62489E-04      2.27719E+02      1.52349E+01
  169      6.74992E-04      2.25738E+02      1.34222E+01
  170      3.37496E-04      2.28434E+02      2.32454E+01
  171      3.74995E-04      2.27202E+02      1.47326E+01
  172      3.37496E-04      2.22653E+02      9.10788E+00
  173      2.99996E-04      2.18701E+02      7.55586E+00
  174      3.37496E-04      2.14678E+02      1.78130E+01
  175      1.87498E-04      2.16363E+02      1.38525E+01
  176      1.49998E-04      2.15984E+02      1.00000E+01
  178      3.74995E-05      2.12000E+02      1.00000E+01
  179      2.24997E-04      2.00681E+02      1.13322E+01
  180      7.49991E-05      2.07623E+02      1.00000E+01
  181      7.49991E-05      2.05354E+02      1.00000E+01
  182      3.74995E-05      2.03074E+02      1.00000E+01
  183      3.74995E-05      2.00823E+02      1.00000E+01
  184      3.74995E-05      1.98641E+02      1.00000E+01
  186      3.74995E-05      1.94679E+02      1.00000E+01
  187      3.74995E-05      1.93003E+02      1.00000E+01
