# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 114-Fl-292
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  146      7.17835E-02      2.69737E+02      3.11235E+01
  147      6.35008E-02      2.74343E+02      1.06250E+01
  148      6.18443E-02      2.67904E+02      1.48221E+01
  149      7.45445E-02      2.71086E+02      1.45983E+01
  150      4.58310E-02      2.71648E+02      1.74420E+01
  151      4.69354E-02      2.71436E+02      1.28441E+01
  152      4.74876E-02      2.71095E+02      1.35244E+01
  153      3.81005E-02      2.72278E+02      1.41451E+01
  154      3.97570E-02      2.70077E+02      1.61395E+01
  155      3.03700E-02      2.67117E+02      1.55650E+01
  156      1.54611E-02      2.67453E+02      2.29874E+01
  157      8.28272E-03      2.58307E+02      2.27126E+01
  158      1.10436E-02      2.61079E+02      2.05006E+01
  159      7.17835E-03      2.54004E+02      1.25475E+01
  160      4.96963E-03      2.58541E+02      1.78135E+01
  161      4.41745E-03      2.52522E+02      1.81373E+01
  162      4.96963E-03      2.56299E+02      2.25783E+01
  163      4.96963E-03      2.39031E+02      2.40544E+01
  164      2.76091E-03      2.38334E+02      2.50849E+01
  165      3.31309E-03      2.46604E+02      1.74921E+01
  166      2.76091E-03      2.47251E+02      1.03627E+01
  167      3.86527E-03      2.23534E+02      8.41633E+00
  168      2.20872E-03      2.34291E+02      1.00000E+01
  169      6.62617E-03      2.34804E+02      2.36624E+01
  170      3.86527E-03      2.37345E+02      1.41055E+01
  171      3.86527E-03      2.24637E+02      1.62127E+01
  172      3.86527E-03      2.25421E+02      1.04658E+01
  173      7.17835E-03      2.25243E+02      1.47725E+01
  174      3.86527E-03      2.32524E+02      1.57716E+01
  175      3.31309E-03      2.29047E+02      2.00845E+01
  176      1.65654E-03      2.30299E+02      1.00000E+01
  177      3.86527E-03      2.30810E+02      1.03069E+01
  178      6.07399E-03      2.29460E+02      1.66418E+01
  179      2.76091E-03      2.28451E+02      1.68004E+01
  180      5.52181E-04      2.33561E+02      1.00000E+01
  181      3.86527E-03      2.24741E+02      1.95038E+01
  182      1.65654E-03      2.35992E+02      1.00000E+01
  183      1.10436E-03      2.37315E+02      1.00000E+01
  184      2.76091E-03      2.36569E+02      1.02624E+01
  185      2.20872E-03      2.40031E+02      1.00000E+01
  186      2.20872E-03      2.41364E+02      1.00000E+01
  187      1.65654E-03      2.42640E+02      1.00000E+01
  188      2.20872E-03      2.43830E+02      1.00000E+01
  189      5.52181E-04      2.44904E+02      1.00000E+01
  190      2.76091E-03      2.49747E+02      1.04684E+01
  192      1.65654E-03      2.47152E+02      1.00000E+01
  193      5.52181E-03      2.51445E+02      1.83348E+01
  194      6.62617E-03      2.41617E+02      9.12586E+00
  195      4.41745E-03      2.41924E+02      1.04679E+01
  196      3.31309E-03      2.48069E+02      1.22187E+01
  197      9.93926E-03      2.45256E+02      1.03177E+01
  198      1.10436E-02      2.44885E+02      1.36774E+01
  199      7.73054E-03      2.35177E+02      1.19180E+01
  200      1.82220E-02      2.42115E+02      2.18060E+01
  201      2.31916E-02      2.42749E+02      1.27411E+01
  202      1.93263E-02      2.37863E+02      1.36442E+01
  203      2.76091E-02      2.35676E+02      2.89316E+01
  204      3.31309E-02      2.33277E+02      2.09757E+01
  205      2.37438E-02      2.30027E+02      2.48831E+01
  206      3.25787E-02      2.31503E+02      1.44411E+01
  207      2.98178E-02      2.24595E+02      3.29503E+01
  208      2.37438E-02      2.33692E+02      2.24614E+01
  209      1.71176E-02      2.18754E+02      1.31053E+01
  210      9.93926E-03      2.21011E+02      1.53387E+01
  211      9.38708E-03      2.15722E+02      1.18289E+01
  212      8.83490E-03      2.00323E+02      1.27405E+01
  213      3.31309E-03      2.17413E+02      1.98673E+01
  214      1.10436E-03      2.06322E+02      1.00000E+01
  215      2.20872E-03      2.05409E+02      1.00000E+01
  216      5.52181E-04      2.05302E+02      1.00000E+01
  217      1.10436E-03      2.06165E+02      1.00000E+01
