# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 100-Fm-262
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  131      1.65241E-01      2.35192E+02      6.99737E+00
  132      1.68717E-01      2.34465E+02      7.12531E+00
  133      1.78075E-01      2.35026E+02      7.30692E+00
  134      1.44385E-01      2.34409E+02      7.47968E+00
  135      8.40909E-02      2.33137E+02      7.98777E+00
  136      5.36096E-02      2.32778E+02      7.90649E+00
  137      3.98396E-02      2.31462E+02      7.29440E+00
  138      2.82086E-02      2.26722E+02      1.75486E+01
  139      2.24599E-02      2.15716E+02      3.06442E+01
  140      1.47059E-02      2.09430E+02      1.66529E+01
  141      1.08289E-02      1.97165E+02      1.75822E+01
  142      9.49198E-03      1.95203E+02      1.20604E+01
  143      1.05615E-02      1.95533E+02      1.65078E+01
  144      1.02941E-02      1.93751E+02      1.28654E+01
  145      1.04278E-02      1.91907E+02      8.90133E+00
  146      6.41711E-03      1.88682E+02      1.25762E+01
  147      5.88235E-03      1.93068E+02      8.13748E+00
  148      6.55080E-03      1.91904E+02      1.16683E+01
  149      5.88235E-03      1.92445E+02      8.21126E+00
  150      3.87701E-03      1.91024E+02      8.86770E+00
  151      2.54011E-03      1.95839E+02      1.61202E+01
  152      3.20856E-03      1.94201E+02      1.62179E+01
  153      1.47059E-03      1.91771E+02      8.39566E+00
  154      2.00535E-03      1.89347E+02      1.31034E+01
  155      1.20321E-03      1.89746E+02      5.99905E+00
  156      8.02139E-04      1.88238E+02      8.57840E+00
  157      4.01070E-04      1.90285E+02      1.00000E+01
  158      1.06952E-03      1.90568E+02      9.88533E+00
  159      1.06952E-03      1.89175E+02      1.01938E+01
  160      5.34759E-04      1.89186E+02      1.00000E+01
  162      4.01070E-04      1.87757E+02      1.00000E+01
  163      8.02139E-04      1.88208E+02      6.12150E+00
  164      5.34759E-04      1.85903E+02      1.00000E+01
  165      6.68449E-04      1.87649E+02      5.25944E+00
  166      4.01070E-04      1.83828E+02      1.00000E+01
  167      8.02139E-04      1.82391E+02      1.31709E+01
  169      9.35829E-04      1.82348E+02      8.17035E+00
  170      4.01070E-04      1.79746E+02      1.00000E+01
  171      5.34759E-04      1.78773E+02      1.00000E+01
  173      2.67380E-04      1.76665E+02      1.00000E+01
  174      1.33690E-04      1.75369E+02      1.00000E+01
  176      1.33690E-04      1.71616E+02      1.00000E+01
  179      1.33690E-04      1.59654E+02      1.00000E+01
