# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 108-Hs-274
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  137      1.64191E-01      2.61351E+02      9.64780E+00
  138      1.61394E-01      2.60869E+02      9.85492E+00
  139      1.65844E-01      2.60991E+02      9.89716E+00
  140      1.49187E-01      2.60489E+02      9.88900E+00
  141      9.02541E-02      2.59036E+02      1.05713E+01
  142      6.26205E-02      2.58045E+02      1.08406E+01
  143      4.06874E-02      2.56884E+02      1.13848E+01
  144      3.09394E-02      2.54587E+02      1.28522E+01
  145      2.20602E-02      2.49052E+02      1.82181E+01
  146      1.44313E-02      2.41519E+02      2.37693E+01
  147      9.68446E-03      2.35531E+02      2.37153E+01
  148      7.28983E-03      2.27252E+02      2.75855E+01
  149      5.70048E-03      2.25436E+02      1.87974E+01
  150      5.19189E-03      2.22682E+02      2.22423E+01
  151      4.64091E-03      2.19029E+02      1.74424E+01
  152      4.21708E-03      2.17074E+02      1.34517E+01
  153      3.94160E-03      2.19933E+02      1.41931E+01
  154      4.17470E-03      2.15352E+02      1.31275E+01
  155      4.53496E-03      2.15349E+02      1.28521E+01
  156      5.02236E-03      2.15624E+02      1.14789E+01
  157      4.53496E-03      2.15074E+02      1.29336E+01
  158      4.32304E-03      2.13869E+02      1.14384E+01
  159      4.23828E-03      2.14299E+02      1.36269E+01
  160      4.00517E-03      2.13546E+02      1.29776E+01
  161      4.23828E-03      2.11433E+02      1.21501E+01
  162      3.56015E-03      2.12299E+02      1.27262E+01
  163      2.58535E-03      2.11071E+02      1.42231E+01
  164      2.39463E-03      2.12466E+02      1.45999E+01
  165      1.94961E-03      2.13456E+02      1.80807E+01
  166      1.37744E-03      2.11242E+02      1.97667E+01
  167      9.11229E-04      2.09887E+02      1.01961E+01
  168      9.95995E-04      2.09047E+02      1.59763E+01
  169      9.74803E-04      2.10499E+02      1.46180E+01
  170      6.99316E-04      2.11492E+02      1.08963E+01
  171      5.50976E-04      2.09425E+02      1.25408E+01
  172      6.35741E-04      2.09334E+02      1.06211E+01
  173      2.96679E-04      2.09871E+02      1.36143E+01
  174      3.39062E-04      2.07293E+02      1.14506E+01
  175      4.66210E-04      2.06558E+02      1.21249E+01
  176      2.54297E-04      2.08097E+02      8.69385E+00
  177      2.96679E-04      2.04865E+02      1.17519E+01
  178      1.90722E-04      1.99822E+02      1.50299E+01
  179      1.69531E-04      2.05877E+02      1.01809E+01
  180      8.47655E-05      2.08448E+02      1.00000E+01
  181      1.27148E-04      2.07683E+02      1.68085E+01
  182      1.48340E-04      1.98044E+02      1.31857E+01
  183      2.11914E-05      2.07747E+02      1.00000E+01
  184      2.11914E-05      2.07436E+02      1.00000E+01
  187      2.11914E-05      2.06268E+02      1.00000E+01
  189      4.23828E-05      2.05297E+02      1.00000E+01
  191      2.11914E-05      2.04171E+02      1.00000E+01
  192      4.23828E-05      2.03547E+02      1.00000E+01
  193      4.23828E-05      2.02879E+02      1.00000E+01
  194      1.05957E-04      2.08152E+02      9.54060E+00
  195      1.69531E-04      1.99179E+02      1.72227E+01
  196      1.48340E-04      1.93020E+02      9.04175E+00
  197      1.48340E-04      2.05024E+02      1.19706E+01
  198      2.11914E-04      2.05273E+02      1.06851E+01
  199      2.96679E-04      1.98969E+02      1.57851E+01
  200      2.33105E-04      1.95341E+02      1.10592E+01
  201      4.23828E-05      1.95132E+02      1.00000E+01
  202      2.11914E-04      1.98056E+02      1.47586E+01
  203      2.11914E-04      1.90821E+02      1.02803E+01
  204      3.60253E-04      1.95011E+02      1.07659E+01
  205      4.02636E-04      1.85288E+02      1.98611E+01
  206      2.11914E-04      1.83723E+02      9.55787E+00
  207      1.48340E-04      1.89325E+02      1.04992E+01
  208      2.33105E-04      1.77978E+02      1.10335E+01
  209      1.05957E-04      1.75395E+02      1.17340E+01
  210      8.47655E-05      1.72230E+02      1.00000E+01
  211      6.35741E-05      1.67586E+02      1.00000E+01
  213      2.11914E-05      1.56229E+02      1.00000E+01
  214      2.11914E-05      1.49331E+02      1.00000E+01
