# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 116-Lv-290
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  145      7.92038E-02      2.83054E+02      1.90109E+01
  146      6.78001E-02      2.78414E+02      1.60847E+01
  147      6.42753E-02      2.82767E+02      1.46982E+01
  148      7.00809E-02      2.80567E+02      1.56714E+01
  149      5.26643E-02      2.80780E+02      1.54242E+01
  150      4.56148E-02      2.80601E+02      1.07629E+01
  151      4.04313E-02      2.78979E+02      1.92410E+01
  152      3.33817E-02      2.76602E+02      2.01976E+01
  153      3.40037E-02      2.79221E+02      2.02827E+01
  154      2.44661E-02      2.72774E+02      2.19290E+01
  155      1.82459E-02      2.74909E+02      2.61228E+01
  156      1.38918E-02      2.69857E+02      2.66847E+01
  157      9.53763E-03      2.60008E+02      2.99031E+01
  158      9.74497E-03      2.69010E+02      1.58497E+01
  159      6.84221E-03      2.62412E+02      2.41369E+01
  160      6.22019E-03      2.58309E+02      2.20597E+01
  161      6.63487E-03      2.63142E+02      2.50953E+01
  162      5.59818E-03      2.59211E+02      1.48576E+01
  163      5.18350E-03      2.44107E+02      2.02052E+01
  164      6.63487E-03      2.54957E+02      2.03243E+01
  165      4.56148E-03      2.47137E+02      2.35310E+01
  166      5.18350E-03      2.39988E+02      2.13163E+01
  167      2.90276E-03      2.50345E+02      1.60802E+01
  168      6.22019E-03      2.49656E+02      2.59107E+01
  169      5.59818E-03      2.42487E+02      1.64294E+01
  170      6.22019E-03      2.36147E+02      1.81815E+01
  171      4.97616E-03      2.42515E+02      1.63742E+01
  172      4.35414E-03      2.39287E+02      2.21314E+01
  173      4.56148E-03      2.48809E+02      2.48673E+01
  174      3.73212E-03      2.34338E+02      1.25457E+01
  175      4.76882E-03      2.41905E+02      1.66599E+01
  176      3.31744E-03      2.45069E+02      2.14356E+01
  177      3.52478E-03      2.38549E+02      1.65850E+01
  178      5.18350E-03      2.43507E+02      1.67668E+01
  179      5.18350E-03      2.46094E+02      1.89510E+01
  180      2.90276E-03      2.37840E+02      1.93330E+01
  181      3.93946E-03      2.42880E+02      1.78901E+01
  182      3.11010E-03      2.44347E+02      1.83377E+01
  183      1.86606E-03      2.48974E+02      2.23523E+01
  184      1.65872E-03      2.46701E+02      2.22082E+01
  185      2.07340E-03      2.60928E+02      1.97964E+01
  186      2.07340E-03      2.47645E+02      2.41598E+01
  187      3.11010E-03      2.49160E+02      1.99128E+01
  188      1.65872E-03      2.54532E+02      1.28805E+01
  189      1.65872E-03      2.49015E+02      1.97082E+01
  190      1.86606E-03      2.43008E+02      1.71482E+01
  191      2.69542E-03      2.57041E+02      2.25271E+01
  192      2.28074E-03      2.56935E+02      1.34069E+01
  193      2.69542E-03      2.54032E+02      2.04152E+01
  194      3.31744E-03      2.50041E+02      1.40308E+01
  195      6.01286E-03      2.56587E+02      1.54564E+01
  196      6.01286E-03      2.52446E+02      1.42759E+01
  197      6.63487E-03      2.59223E+02      2.22168E+01
  198      5.39084E-03      2.53045E+02      1.21285E+01
  199      8.91561E-03      2.46437E+02      1.22352E+01
  200      8.91561E-03      2.46786E+02      1.09859E+01
  201      1.09890E-02      2.46482E+02      1.54344E+01
  202      1.30624E-02      2.42542E+02      2.58077E+01
  203      1.22330E-02      2.33157E+02      2.61949E+01
  204      2.07340E-02      2.31137E+02      3.28808E+01
  205      2.88202E-02      2.32442E+02      1.93773E+01
  206      2.90276E-02      2.34902E+02      2.47793E+01
  207      2.88202E-02      2.27459E+02      1.68590E+01
  208      2.90276E-02      2.25559E+02      2.08449E+01
  209      2.46734E-02      2.19802E+02      2.52007E+01
  210      1.70019E-02      2.19584E+02      2.70710E+01
  211      1.53431E-02      2.12085E+02      2.39979E+01
  212      8.91561E-03      2.14532E+02      1.37950E+01
  213      5.39084E-03      2.12101E+02      1.61911E+01
  214      2.48808E-03      2.05141E+02      1.12724E+01
  215      1.86606E-03      2.03828E+02      9.82412E+00
  216      1.03670E-03      2.12578E+02      7.11263E+00
  217      4.14680E-04      2.03028E+02      1.00000E+01
  218      2.07340E-04      2.02443E+02      1.00000E+01
  219      2.07340E-04      2.02622E+02      1.00000E+01
  222      2.07340E-04      2.09065E+02      1.00000E+01
