# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 102-No-272
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  136      2.12991E-01      2.39555E+02      8.37798E+00
  137      2.23580E-01      2.39747E+02      8.09746E+00
  138      2.10751E-01      2.39441E+02      8.40054E+00
  139      1.65547E-01      2.39449E+02      8.26467E+00
  140      6.82142E-02      2.38923E+02      8.95313E+00
  141      3.54307E-02      2.38476E+02      7.62000E+00
  142      1.71045E-02      2.32868E+02      2.33030E+01
  143      1.16066E-02      2.22262E+02      2.04860E+01
  144      7.53411E-03      2.27224E+02      1.77430E+01
  145      4.27611E-03      2.01057E+02      1.44738E+01
  146      4.27611E-03      2.03025E+02      1.77986E+01
  147      3.66524E-03      1.96356E+02      8.64953E+00
  148      2.03625E-03      1.96127E+02      1.06417E+01
  149      2.64712E-03      1.97623E+02      9.70943E+00
  150      2.03625E-03      1.96674E+02      1.80407E+01
  151      2.03625E-03      1.97931E+02      1.27422E+01
  152      1.62900E-03      1.95816E+02      7.04180E+00
  153      1.42537E-03      1.94587E+02      9.61964E+00
  154      1.62900E-03      1.97598E+02      1.45288E+01
  155      1.42537E-03      1.97111E+02      1.03073E+01
  156      1.22175E-03      1.92207E+02      9.08585E+00
  157      8.14498E-04      1.93517E+02      1.00000E+01
  158      8.14498E-04      1.93386E+02      1.00000E+01
  159      1.22175E-03      1.91376E+02      1.46758E+01
  160      1.22175E-03      2.00233E+02      1.54790E+01
  161      1.62900E-03      1.90676E+02      1.55460E+01
  162      1.42537E-03      1.89589E+02      7.18939E+00
  163      1.01812E-03      1.95284E+02      1.33199E+01
  164      6.10874E-04      1.92997E+02      1.00000E+01
  165      1.01812E-03      1.96437E+02      1.07989E+01
  166      1.22175E-03      1.88778E+02      1.62994E+01
  167      4.07249E-04      1.91838E+02      1.00000E+01
  168      8.14498E-04      1.91191E+02      1.00000E+01
  169      6.10874E-04      1.90403E+02      1.00000E+01
  170      2.03625E-04      1.89475E+02      1.00000E+01
  171      8.14498E-04      1.88411E+02      1.00000E+01
  172      2.03625E-04      1.87221E+02      1.00000E+01
  174      2.03625E-04      1.84520E+02      1.00000E+01
  176      2.03625E-04      1.81523E+02      1.00000E+01
  177      2.03625E-04      1.79976E+02      1.00000E+01
  178      1.01812E-03      1.84040E+02      7.27411E+00
  179      4.07249E-04      1.76928E+02      1.00000E+01
  180      4.07249E-04      1.75490E+02      1.00000E+01
  182      2.03625E-04      1.72946E+02      1.00000E+01
  184      2.03625E-04      1.71043E+02      1.00000E+01
  190      2.03625E-04      1.70832E+02      1.00000E+01
  194      2.03625E-04      1.74944E+02      1.00000E+01
  195      6.10874E-04      1.76135E+02      1.00000E+01
  196      2.03625E-04      1.77218E+02      1.00000E+01
  197      2.03625E-04      1.78071E+02      1.00000E+01
  202      2.03625E-04      1.72911E+02      1.00000E+01
  203      2.03625E-04      1.68401E+02      1.00000E+01
  205      2.03625E-04      1.53491E+02      1.00000E+01
