# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 118-Og-290
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  145      6.82919E-02      2.82753E+02      2.15748E+01
  146      7.07731E-02      2.83601E+02      1.95459E+01
  147      7.30574E-02      2.83902E+02      2.00291E+01
  148      7.28998E-02      2.84286E+02      1.94619E+01
  149      5.88004E-02      2.82248E+02      1.87762E+01
  150      5.14355E-02      2.82358E+02      1.81666E+01
  151      4.37950E-02      2.82243E+02      1.73839E+01
  152      3.76905E-02      2.79658E+02      1.73880E+01
  153      3.33977E-02      2.81921E+02      1.69960E+01
  154      2.83171E-02      2.79357E+02      1.60053E+01
  155      2.31184E-02      2.78064E+02      1.54169E+01
  156      1.77228E-02      2.79956E+02      1.60667E+01
  157      1.68958E-02      2.76708E+02      1.65498E+01
  158      1.44539E-02      2.74615E+02      1.49420E+01
  159      1.25241E-02      2.72789E+02      1.79121E+01
  160      1.11457E-02      2.71939E+02      1.61484E+01
  161      9.57032E-03      2.71336E+02      1.70196E+01
  162      8.38880E-03      2.68410E+02      2.27602E+01
  163      8.90079E-03      2.65390E+02      2.05274E+01
  164      8.38880E-03      2.65753E+02      1.74084E+01
  165      7.04974E-03      2.64993E+02      2.15109E+01
  166      7.56173E-03      2.61173E+02      2.07600E+01
  167      7.12851E-03      2.58903E+02      1.96289E+01
  168      7.48297E-03      2.56905E+02      1.94895E+01
  169      7.24666E-03      2.54694E+02      2.02813E+01
  170      6.57713E-03      2.56870E+02      2.12864E+01
  171      6.53775E-03      2.54098E+02      2.07269E+01
  172      6.22268E-03      2.54178E+02      1.81926E+01
  173      5.90761E-03      2.52624E+02      2.21154E+01
  174      5.63192E-03      2.52927E+02      1.96164E+01
  175      6.41960E-03      2.48300E+02      1.92410E+01
  176      5.71068E-03      2.48404E+02      2.21175E+01
  177      5.19869E-03      2.53256E+02      2.36611E+01
  178      4.01717E-03      2.52446E+02      2.39583E+01
  179      4.33224E-03      2.48024E+02      2.54541E+01
  180      3.42641E-03      2.55309E+02      3.09000E+01
  181      3.07195E-03      2.53779E+02      1.92814E+01
  182      4.01717E-03      2.53578E+02      2.88648E+01
  183      2.79627E-03      2.57968E+02      3.04366E+01
  184      2.67811E-03      2.57992E+02      2.15521E+01
  185      2.71750E-03      2.57983E+02      3.11290E+01
  186      2.91442E-03      2.57177E+02      2.67983E+01
  187      2.28427E-03      2.60672E+02      1.88890E+01
  188      2.95380E-03      2.58780E+02      3.11289E+01
  189      2.40243E-03      2.59222E+02      2.85237E+01
  190      2.87503E-03      2.59429E+02      1.86800E+01
  191      2.83565E-03      2.63949E+02      2.39397E+01
  192      2.67811E-03      2.59653E+02      3.18315E+01
  193      3.11134E-03      2.60052E+02      3.07677E+01
  194      3.38703E-03      2.62085E+02      2.91324E+01
  195      3.78087E-03      2.59128E+02      1.76466E+01
  196      4.37163E-03      2.59377E+02      2.04885E+01
  197      4.05656E-03      2.60570E+02      1.76603E+01
  198      5.55315E-03      2.56978E+02      1.77198E+01
  199      6.53775E-03      2.55826E+02      1.81936E+01
  200      6.65590E-03      2.52696E+02      1.80184E+01
  201      7.91619E-03      2.49590E+02      1.75403E+01
  202      1.04368E-02      2.48875E+02      1.70096E+01
  203      9.92478E-03      2.42702E+02      1.66508E+01
  204      1.26423E-02      2.41054E+02      1.43140E+01
  205      1.64231E-02      2.40381E+02      1.71582E+01
  206      1.85893E-02      2.35802E+02      1.71946E+01
  207      1.59111E-02      2.34622E+02      1.61603E+01
  208      1.58324E-02      2.29031E+02      1.59217E+01
  209      1.41389E-02      2.29517E+02      1.63802E+01
  210      1.37450E-02      2.26842E+02      1.35268E+01
  211      1.12244E-02      2.23349E+02      1.41415E+01
  212      7.01036E-03      2.22172E+02      1.71225E+01
  213      3.30826E-03      2.17594E+02      1.71966E+01
  214      2.36304E-03      2.16011E+02      2.35055E+01
  215      1.18152E-03      2.21363E+02      1.32025E+01
  216      7.48297E-04      2.13956E+02      1.44237E+01
  217      4.33224E-04      2.08996E+02      1.58809E+01
  218      1.96920E-04      2.14093E+02      1.51494E+01
  219      1.96920E-04      2.16106E+02      1.10428E+01
  225      3.93840E-05      2.08663E+02      1.00000E+01
  226      3.93840E-05      2.10489E+02      1.00000E+01
