# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 94-Pu-230
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  115      3.52277E-02      1.64008E+02      1.28376E+01
  116      3.71543E-02      1.64558E+02      1.00535E+01
  117      3.20627E-02      1.63823E+02      1.17934E+01
  118      2.76593E-02      1.63960E+02      1.28293E+01
  119      2.35310E-02      1.65650E+02      1.14570E+01
  120      1.61002E-02      1.69249E+02      1.36088E+01
  121      1.33480E-02      1.69486E+02      1.37282E+01
  122      1.23848E-02      1.72511E+02      1.73653E+01
  123      9.21976E-03      1.79544E+02      1.72953E+01
  124      1.18343E-02      1.78695E+02      1.46140E+01
  125      1.27976E-02      1.85526E+02      1.71587E+01
  126      1.37608E-02      1.88196E+02      1.26352E+01
  127      1.44489E-02      1.85653E+02      1.27860E+01
  128      1.81643E-02      1.87264E+02      1.24033E+01
  129      2.21549E-02      1.86421E+02      1.22464E+01
  130      2.62832E-02      1.91729E+02      1.16338E+01
  131      3.64662E-02      1.90160E+02      8.73246E+00
  132      4.38971E-02      1.90541E+02      9.07671E+00
  133      4.23834E-02      1.92519E+02      8.14783E+00
  134      5.20160E-02      1.90021E+02      9.79207E+00
  135      5.99972E-02      1.90548E+02      8.84643E+00
  136      7.18316E-02      1.88919E+02      8.89830E+00
  137      6.42631E-02      1.89684E+02      8.93012E+00
  138      5.36673E-02      1.89445E+02      8.67369E+00
  139      5.35297E-02      1.85543E+02      9.30317E+00
  140      5.07775E-02      1.84825E+02      1.06159E+01
  141      3.42645E-02      1.82191E+02      1.10151E+01
  142      2.82097E-02      1.80125E+02      1.21166E+01
  143      1.80267E-02      1.76711E+02      1.64149E+01
  144      1.56874E-02      1.70831E+02      1.19335E+01
  145      1.38984E-02      1.68013E+02      1.29759E+01
  146      8.94454E-03      1.69102E+02      1.79232E+01
  147      6.46759E-03      1.64638E+02      1.46979E+01
  148      4.54108E-03      1.67092E+02      9.57410E+00
  149      4.54108E-03      1.61418E+02      7.53006E+00
  150      3.16499E-03      1.62524E+02      1.24190E+01
  151      3.16499E-03      1.64190E+02      8.86375E+00
  152      8.25650E-04      1.62437E+02      8.15065E+00
  153      5.50433E-04      1.62412E+02      1.00000E+01
  154      6.88042E-04      1.57028E+02      8.20558E+00
  155      5.50433E-04      1.59647E+02      1.00000E+01
  156      4.12825E-04      1.58264E+02      1.00000E+01
  157      2.75217E-04      1.56881E+02      1.00000E+01
  158      1.37608E-04      1.55499E+02      1.00000E+01
  159      4.12825E-04      1.54116E+02      1.00000E+01
  160      1.37608E-04      1.52733E+02      1.00000E+01
  162      1.37608E-04      1.49968E+02      1.00000E+01
