# Source                  : 4D Langevin model
# Author                  : K. Fujio et al.
# Institute               : Tokyo Institute of Technology
# Reference               : In preparation (Accepted in J. Nucl. Sci. Technol)
# doi                     : https://doi.org/10.48550/arXiv.2309.12653
# Description             : Y(A, TKE, dTKE) by superposing ST1 and ST2 modes.
# License                 : CC BY-SA-4.0
# Compound                : 94-Pu-240
# Excitation Energy (MeV) : 7.0 MeV
#  A       Yield            Mean TKE         dTKE
   120      5.92951E-04      1.58700E+02      9.90505E+00
   121      9.10011E-04      1.66882E+02      1.52263E+01
   122      7.02857E-04      1.56088E+02      1.26941E+01
   123      1.06205E-03      1.60363E+02      1.52427E+01
   124      1.39422E-03      1.65123E+02      1.37690E+01
   125      2.17420E-03      1.66832E+02      1.45045E+01
   126      2.58236E-03      1.75172E+02      1.60247E+01
   127      4.26995E-03      1.75065E+02      1.46028E+01
   128      5.15513E-03      1.78943E+02      1.61289E+01
   129      9.09227E-03      1.83042E+02      1.63139E+01
   130      1.69260E-02      1.87227E+02      1.38522E+01
   131      2.57174E-02      1.87355E+02      1.31727E+01
   132      3.67941E-02      1.88286E+02      1.30854E+01
   133      4.52605E-02      1.89175E+02      1.20763E+01
   134      5.46946E-02      1.87356E+02      1.23055E+01
   135      6.06280E-02      1.86062E+02      1.22257E+01
   136      6.17754E-02      1.83920E+02      1.22235E+01
   137      6.34316E-02      1.81871E+02      1.21250E+01
   138      6.08578E-02      1.79886E+02      1.13409E+01
   139      5.95721E-02      1.77026E+02      1.09171E+01
   140      6.20358E-02      1.75463E+02      1.07238E+01
   141      6.14585E-02      1.75224E+02      1.07895E+01
   142      5.81082E-02      1.73589E+02      1.03350E+01
   143      5.43177E-02      1.72824E+02      1.01816E+01
   144      4.65719E-02      1.71631E+02      1.04898E+01
   145      4.08379E-02      1.70692E+02      1.05173E+01
   146      3.28609E-02      1.69453E+02      1.11537E+01
   147      2.83176E-02      1.68721E+02      1.04414E+01
   148      2.23077E-02      1.67613E+02      1.09804E+01
   149      1.80849E-02      1.65832E+02      1.09056E+01
   150      1.46716E-02      1.64098E+02      1.15177E+01
   151      1.08244E-02      1.63923E+02      1.09668E+01
   152      8.20170E-03      1.62328E+02      1.16475E+01
   153      6.03937E-03      1.63640E+02      9.86388E+00
   154      4.88148E-03      1.62264E+02      1.27026E+01
   155      3.92434E-03      1.59261E+02      1.02568E+01
   156      3.63272E-03      1.57693E+02      1.15855E+01
   157      2.23852E-03      1.55907E+02      9.69011E+00
   158      1.91888E-03      1.55077E+02      1.00355E+01
   159      1.08593E-03      1.48448E+02      9.92487E+00
   160      1.46007E-03      1.52607E+02      1.00226E+01
   161      7.30303E-04      1.51714E+02      6.59468E+00
   162      6.78343E-04      1.53231E+02      1.04892E+01
   163      4.69738E-04      1.49889E+02      1.11400E+01
   164      2.61018E-04      1.51200E+02      1.19733E+01
   165      1.04424E-04      1.45500E+02      2.50000E+00
   166      1.56658E-04      1.37667E+02      4.18994E+00
   167      1.04450E-04      1.36500E+02      8.50000E+00
   168      1.04460E-04      1.32500E+02      7.50000E+00
   169      5.22337E-05      1.23000E+02      1.34870E-06
   170      1.04474E-04      1.35000E+02      7.00000E+00
   179      5.22488E-05      1.17000E+02      1.34870E-06
