# Source                  : 4D Langevin model
# Author                  : K. Fujio et al.
# Institute               : Tokyo Institute of Technology
# Reference               : In preparation (Accepted in J. Nucl. Sci. Technol)
# doi                     : https://doi.org/10.48550/arXiv.2309.12653
# Description             : Y(A, TKE, dTKE) by superposing ST1 and ST2 modes.
# License                 : CC BY-SA-4.0
# Compound                : 94-Pu-240
# Excitation Energy (MeV) : 8.0 MeV
#  A        Yield            Mean TKE         dTKE
   120      2.96708E-03      1.59823E+02      1.48312E+01
   121      4.45679E-03      1.59138E+02      1.51173E+01
   122      4.16579E-03      1.61988E+02      1.42250E+01
   123      4.67706E-03      1.62631E+02      1.39574E+01
   124      4.60829E-03      1.63684E+02      1.47690E+01
   125      5.00861E-03      1.66114E+02      1.55982E+01
   126      5.52994E-03      1.69923E+02      1.58695E+01
   127      7.20748E-03      1.72962E+02      1.66652E+01
   128      9.73109E-03      1.80898E+02      1.55755E+01
   129      1.37042E-02      1.81396E+02      1.60275E+01
   130      2.14820E-02      1.83901E+02      1.49942E+01
   131      3.03511E-02      1.85526E+02      1.46335E+01
   132      3.96559E-02      1.87437E+02      1.30958E+01
   133      5.24595E-02      1.87521E+02      1.21902E+01
   134      5.80416E-02      1.86551E+02      1.25944E+01
   135      6.21403E-02      1.85257E+02      1.22967E+01
   136      6.51038E-02      1.83410E+02      1.20569E+01
   137      6.34279E-02      1.81315E+02      1.21497E+01
   138      6.00657E-02      1.78928E+02      1.16042E+01
   139      5.84826E-02      1.77741E+02      1.13726E+01
   140      5.80897E-02      1.75939E+02      1.12085E+01
   141      5.61219E-02      1.75054E+02      1.05875E+01
   142      5.13335E-02      1.73783E+02      1.07723E+01
   143      4.44430E-02      1.72753E+02      1.04667E+01
   144      4.10451E-02      1.71730E+02      1.06317E+01
   145      3.51670E-02      1.70746E+02      1.04623E+01
   146      2.83349E-02      1.69577E+02      1.10846E+01
   147      2.28711E-02      1.69352E+02      1.10318E+01
   148      1.96471E-02      1.68049E+02      1.13599E+01
   149      1.60007E-02      1.67306E+02      1.12455E+01
   150      1.25019E-02      1.65357E+02      1.08114E+01
   151      9.51017E-03      1.65359E+02      1.11489E+01
   152      7.69508E-03      1.62702E+02      1.07409E+01
   153      5.11794E-03      1.63134E+02      1.18119E+01
   154      4.58623E-03      1.61509E+02      1.18616E+01
   155      3.71096E-03      1.60830E+02      1.03771E+01
   156      3.11469E-03      1.59648E+02      1.10980E+01
   157      2.20309E-03      1.59543E+02      1.25441E+01
   158      1.69181E-03      1.56756E+02      1.13482E+01
   159      1.47348E-03      1.55756E+02      1.26323E+01
   160      8.85323E-04      1.49675E+02      1.21075E+01
   161      7.27659E-04      1.54033E+02      1.38777E+01
   162      4.99272E-04      1.47316E+02      8.99153E+00
   163      5.25549E-04      1.50300E+02      1.07754E+01
   164      2.89052E-04      1.46364E+02      1.14992E+01
   165      1.05110E-04      1.37750E+02      1.02561E+01
   166      5.25549E-05      1.44500E+02      5.00000E-01
   167      1.05110E-04      1.46500E+02      5.02494E+00
   168      2.62775E-05      1.43000E+02      1.90735E-06
   169      1.31387E-04      1.40000E+02      5.65685E+00
   172      5.25549E-05      1.25500E+02      3.50000E+00
   174      5.25549E-05      1.32500E+02      5.00000E-01
