# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 104-Rf-280
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  140      1.67726E-01      2.38326E+02      8.27218E+00
  141      1.85904E-01      2.38957E+02      8.27562E+00
  142      1.88915E-01      2.38580E+02      7.78435E+00
  143      1.63823E-01      2.38475E+02      8.11024E+00
  144      8.78778E-02      2.38646E+02      8.70947E+00
  145      5.69867E-02      2.38409E+02      8.16356E+00
  146      3.42366E-02      2.38348E+02      7.54616E+00
  147      2.33077E-02      2.35954E+02      8.69016E+00
  148      1.50552E-02      2.37820E+02      1.18867E+01
  149      5.68752E-03      2.26146E+02      3.36916E+01
  150      4.12624E-03      2.13123E+02      2.26762E+01
  151      2.67648E-03      2.13188E+02      1.85498E+01
  152      2.34192E-03      2.05460E+02      1.60073E+01
  153      2.67648E-03      2.00175E+02      1.11830E+01
  154      2.67648E-03      1.99452E+02      1.51582E+01
  155      1.44976E-03      1.94238E+02      1.16269E+01
  156      2.11888E-03      2.01485E+02      1.55583E+01
  157      2.11888E-03      1.94195E+02      8.87869E+00
  158      1.11520E-03      2.03422E+02      1.17850E+01
  159      1.78432E-03      1.97643E+02      8.92897E+00
  160      1.56128E-03      1.97618E+02      9.75741E+00
  161      1.11520E-03      1.96458E+02      9.98175E+00
  162      1.11520E-03      2.04178E+02      1.26351E+01
  163      1.44976E-03      1.89325E+02      1.30746E+01
  164      1.33824E-03      1.79303E+02      2.95669E+01
  165      1.33824E-03      1.96271E+02      1.39746E+01
  166      1.11520E-03      1.92366E+02      9.95574E+00
  167      8.92160E-04      2.01219E+02      1.24123E+01
  168      1.22672E-03      1.94996E+02      7.74149E+00
  169      1.33824E-03      1.97675E+02      1.25319E+01
  170      1.11520E-03      1.92202E+02      6.70273E+00
  171      1.22672E-03      2.02295E+02      2.00712E+01
  172      6.69120E-04      1.93027E+02      1.12264E+01
  173      1.00368E-03      1.92348E+02      5.76133E+00
  174      7.80640E-04      1.92253E+02      1.29399E+01
  175      8.92160E-04      1.89018E+02      9.11627E+00
  176      3.34560E-04      1.91613E+02      1.00000E+01
  177      3.34560E-04      1.92241E+02      1.00000E+01
  178      6.69120E-04      1.96719E+02      2.39787E+01
  179      3.34560E-04      1.93648E+02      1.00000E+01
  180      3.34560E-04      1.94396E+02      1.00000E+01
  181      2.23040E-04      1.95150E+02      1.00000E+01
  182      4.46080E-04      1.95895E+02      1.00000E+01
  183      2.23040E-04      1.96611E+02      1.00000E+01
  184      1.11520E-04      1.97282E+02      1.00000E+01
  185      2.23040E-04      1.97890E+02      1.00000E+01
  186      2.23040E-04      1.98417E+02      1.00000E+01
  187      3.34560E-04      1.98845E+02      1.00000E+01
  188      3.34560E-04      1.99158E+02      1.00000E+01
  189      3.34560E-04      1.99341E+02      1.00000E+01
  190      6.69120E-04      2.07629E+02      1.73040E+01
  191      1.11520E-03      2.00852E+02      6.35247E+00
  192      6.69120E-04      1.99965E+02      1.06463E+01
  193      1.11520E-03      2.00913E+02      9.83507E+00
  194      7.80640E-04      1.98833E+02      1.47833E+01
  195      2.45344E-03      2.02762E+02      1.08580E+01
  196      2.34192E-03      1.99326E+02      1.56654E+01
  197      1.33824E-03      1.95296E+02      1.06971E+01
  198      3.23408E-03      1.90032E+02      1.24741E+01
  199      2.34192E-03      1.86229E+02      1.22058E+01
  200      2.23040E-03      1.87881E+02      1.61569E+01
  201      2.78800E-03      1.83205E+02      2.63908E+01
  202      1.00368E-03      1.87607E+02      1.42358E+01
  203      1.22672E-03      1.90448E+02      1.19215E+01
  204      1.00368E-03      1.77128E+02      1.21790E+01
  206      1.11520E-04      1.76518E+02      1.00000E+01
  207      1.11520E-04      1.74243E+02      1.00000E+01
  209      1.11520E-04      1.70106E+02      1.00000E+01
  213      1.11520E-04      1.65674E+02      1.00000E+01
