# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 106-Sg-260
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  130      2.18258E-02      2.45173E+02      1.99514E+01
  131      2.29451E-02      2.44757E+02      1.34888E+01
  132      2.12662E-02      2.44835E+02      1.52263E+01
  133      2.74222E-02      2.44713E+02      1.29444E+01
  134      2.60231E-02      2.43538E+02      1.31780E+01
  135      3.17594E-02      2.43088E+02      1.23122E+01
  136      3.54669E-02      2.41405E+02      1.42644E+01
  137      4.20427E-02      2.40919E+02      1.30751E+01
  138      5.39349E-02      2.37775E+02      1.47387E+01
  139      5.74327E-02      2.34597E+02      1.54054E+01
  140      5.40049E-02      2.31258E+02      1.64971E+01
  141      5.66632E-02      2.30183E+02      1.60339E+01
  142      6.13501E-02      2.26210E+02      1.55007E+01
  143      6.50577E-02      2.25494E+02      1.51215E+01
  144      6.07205E-02      2.21903E+02      1.46728E+01
  145      5.25359E-02      2.20604E+02      1.36102E+01
  146      5.03673E-02      2.18153E+02      1.39462E+01
  147      4.34418E-02      2.17791E+02      1.30311E+01
  148      4.31619E-02      2.17409E+02      1.30414E+01
  149      3.23889E-02      2.16789E+02      1.13626E+01
  150      2.74222E-02      2.16755E+02      1.07356E+01
  151      1.65093E-02      2.12715E+02      1.22505E+01
  152      1.60196E-02      2.14438E+02      1.30967E+01
  153      1.40609E-02      2.15057E+02      1.37402E+01
  154      1.11228E-02      2.12774E+02      1.21431E+01
  155      9.30395E-03      2.18688E+02      1.22575E+01
  156      6.78559E-03      2.15441E+02      1.71338E+01
  157      7.27527E-03      2.12879E+02      1.85560E+01
  158      6.01609E-03      2.17574E+02      1.81216E+01
  159      5.03673E-03      2.10802E+02      1.83519E+01
  160      4.68695E-03      2.13292E+02      2.04770E+01
  161      2.65827E-03      2.11421E+02      2.01926E+01
  162      3.56768E-03      2.12941E+02      2.81107E+01
  163      3.35782E-03      2.10372E+02      1.26667E+01
  164      1.53900E-03      2.09733E+02      1.43233E+01
  165      1.46905E-03      2.07112E+02      1.68609E+01
  166      6.29591E-04      2.17499E+02      1.07929E+01
  167      1.04932E-03      2.08551E+02      1.30513E+01
  168      2.79818E-04      2.03004E+02      1.00000E+01
  169      2.79818E-04      2.01355E+02      1.00000E+01
  170      6.99545E-05      1.99739E+02      1.00000E+01
  171      3.49773E-04      2.00488E+02      1.61943E+01
  173      1.39909E-04      1.95403E+02      1.00000E+01
  174      6.99545E-05      1.94216E+02      1.00000E+01
  175      6.99545E-05      1.93187E+02      1.00000E+01
  176      6.99545E-05      1.92321E+02      1.00000E+01
  178      6.99545E-05      1.91029E+02      1.00000E+01
  179      6.99545E-05      1.90544E+02      1.00000E+01
  181      6.99545E-05      1.89599E+02      1.00000E+01
  188      6.99545E-05      1.71910E+02      1.00000E+01
  190      6.99545E-05      1.54544E+02      1.00000E+01
