# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Full TKE distribution for each fragment mass.
# License                 : CC BY-SA-4.0
# Compound                : 106-Sg-264
# Excitation Energy (MeV) : 10.0 MeV
#  A       TKE[MeV]          Yield
  131      1.50000E+02      0.00000E+00
  131      1.51000E+02      0.00000E+00
  131      1.52000E+02      0.00000E+00
  131      1.53000E+02      0.00000E+00
  131      1.54000E+02      0.00000E+00
  131      1.55000E+02      0.00000E+00
  131      1.56000E+02      0.00000E+00
  131      1.57000E+02      0.00000E+00
  131      1.58000E+02      0.00000E+00
  131      1.59000E+02      0.00000E+00
  131      1.60000E+02      0.00000E+00
  131      1.61000E+02      0.00000E+00
  131      1.62000E+02      0.00000E+00
  131      1.63000E+02      0.00000E+00
  131      1.64000E+02      0.00000E+00
  131      1.65000E+02      0.00000E+00
  131      1.66000E+02      0.00000E+00
  131      1.67000E+02      0.00000E+00
  131      1.68000E+02      0.00000E+00
  131      1.69000E+02      0.00000E+00
  131      1.70000E+02      0.00000E+00
  131      1.71000E+02      0.00000E+00
  131      1.72000E+02      0.00000E+00
  131      1.73000E+02      0.00000E+00
  131      1.74000E+02      0.00000E+00
  131      1.75000E+02      0.00000E+00
  131      1.76000E+02      0.00000E+00
  131      1.77000E+02      0.00000E+00
  131      1.78000E+02      0.00000E+00
  131      1.79000E+02      0.00000E+00
  131      1.80000E+02      0.00000E+00
  131      1.81000E+02      0.00000E+00
  131      1.82000E+02      0.00000E+00
  131      1.83000E+02      0.00000E+00
  131      1.84000E+02      0.00000E+00
  131      1.85000E+02      0.00000E+00
  131      1.86000E+02      0.00000E+00
  131      1.87000E+02      0.00000E+00
  131      1.88000E+02      0.00000E+00
  131      1.89000E+02      0.00000E+00
  131      1.90000E+02      0.00000E+00
  131      1.91000E+02      0.00000E+00
  131      1.92000E+02      0.00000E+00
  131      1.93000E+02      0.00000E+00
  131      1.94000E+02      0.00000E+00
  131      1.95000E+02      0.00000E+00
  131      1.96000E+02      0.00000E+00
  131      1.97000E+02      0.00000E+00
  131      1.98000E+02      0.00000E+00
  131      1.99000E+02      0.00000E+00
  131      2.00000E+02      0.00000E+00
  131      2.01000E+02      0.00000E+00
  131      2.02000E+02      0.00000E+00
  131      2.03000E+02      0.00000E+00
  131      2.04000E+02      0.00000E+00
  131      2.05000E+02      0.00000E+00
  131      2.06000E+02      0.00000E+00
  131      2.07000E+02      0.00000E+00
  131      2.08000E+02      0.00000E+00
  131      2.09000E+02      0.00000E+00
  131      2.10000E+02      0.00000E+00
  131      2.11000E+02      0.00000E+00
  131      2.12000E+02      0.00000E+00
  131      2.13000E+02      0.00000E+00
  131      2.14000E+02      0.00000E+00
  131      2.15000E+02      0.00000E+00
  131      2.16000E+02      0.00000E+00
  131      2.17000E+02      0.00000E+00
  131      2.18000E+02      0.00000E+00
  131      2.19000E+02      0.00000E+00
  131      2.20000E+02      0.00000E+00
  131      2.21000E+02      0.00000E+00
  131      2.22000E+02      0.00000E+00
  131      2.23000E+02      0.00000E+00
  131      2.24000E+02      0.00000E+00
  131      2.25000E+02      0.00000E+00
  131      2.26000E+02      0.00000E+00
  131      2.27000E+02      0.00000E+00
  131      2.28000E+02      0.00000E+00
  131      2.29000E+02      0.00000E+00
  131      2.30000E+02      0.00000E+00
  131      2.31000E+02      0.00000E+00
  131      2.32000E+02      0.00000E+00
  131      2.33000E+02      0.00000E+00
  131      2.34000E+02      0.00000E+00
  131      2.35000E+02      0.00000E+00
  131      2.36000E+02      0.00000E+00
  131      2.37000E+02      0.00000E+00
  131      2.38000E+02      0.00000E+00
  131      2.39000E+02      0.00000E+00
  131      2.40000E+02      0.00000E+00
  131      2.41000E+02      0.00000E+00
  131      2.42000E+02      0.00000E+00
  131      2.43000E+02      0.00000E+00
  131      2.44000E+02      0.00000E+00
  131      2.45000E+02      0.00000E+00
  131      2.46000E+02      0.00000E+00
  131      2.47000E+02      0.00000E+00
  131      2.48000E+02      0.00000E+00
  131      2.49000E+02      0.00000E+00
  131      2.50000E+02      0.00000E+00
  131      2.51000E+02      0.00000E+00
  131      2.52000E+02      0.00000E+00
  131      2.53000E+02      0.00000E+00
  131      2.54000E+02      0.00000E+00
  131      2.55000E+02      0.00000E+00
  131      2.56000E+02      0.00000E+00
  131      2.57000E+02      0.00000E+00
  131      2.58000E+02      0.00000E+00
  131      2.59000E+02      0.00000E+00
  131      2.60000E+02      0.00000E+00
  131      2.61000E+02      0.00000E+00
  131      2.62000E+02      0.00000E+00
  131      2.63000E+02      0.00000E+00
  131      2.64000E+02      0.00000E+00
  131      2.65000E+02      0.00000E+00
  131      2.66000E+02      0.00000E+00
  131      2.67000E+02      0.00000E+00
  131      2.68000E+02      0.00000E+00
  131      2.69000E+02      0.00000E+00
  131      2.70000E+02      0.00000E+00
  131      2.71000E+02      0.00000E+00
  131      2.72000E+02      0.00000E+00
  131      2.73000E+02      0.00000E+00
  131      2.74000E+02      0.00000E+00
  131      2.75000E+02      0.00000E+00
  131      2.76000E+02      0.00000E+00
  131      2.77000E+02      0.00000E+00
  131      2.78000E+02      0.00000E+00
  131      2.79000E+02      0.00000E+00
  131      2.80000E+02      0.00000E+00
  131      2.81000E+02      0.00000E+00
  131      2.82000E+02      0.00000E+00
  131      2.83000E+02      0.00000E+00
  131      2.84000E+02      0.00000E+00
  131      2.85000E+02      0.00000E+00
  131      2.86000E+02      0.00000E+00
  131      2.87000E+02      0.00000E+00
  131      2.88000E+02      0.00000E+00
  131      2.89000E+02      0.00000E+00
  131      2.90000E+02      0.00000E+00

  132      1.50000E+02      0.00000E+00
  132      1.51000E+02      0.00000E+00
  132      1.52000E+02      0.00000E+00
  132      1.53000E+02      0.00000E+00
  132      1.54000E+02      0.00000E+00
  132      1.55000E+02      0.00000E+00
  132      1.56000E+02      0.00000E+00
  132      1.57000E+02      0.00000E+00
  132      1.58000E+02      0.00000E+00
  132      1.59000E+02      0.00000E+00
  132      1.60000E+02      0.00000E+00
  132      1.61000E+02      0.00000E+00
  132      1.62000E+02      1.26143E-04
  132      1.63000E+02      0.00000E+00
  132      1.64000E+02      0.00000E+00
  132      1.65000E+02      0.00000E+00
  132      1.66000E+02      0.00000E+00
  132      1.67000E+02      0.00000E+00
  132      1.68000E+02      0.00000E+00
  132      1.69000E+02      0.00000E+00
  132      1.70000E+02      0.00000E+00
  132      1.71000E+02      0.00000E+00
